,Code,Code_old,Class,Order,Family,SpeciesName,SamplingEffortGroup
606,MAM040103001,M104,Mammalia,Carnivora,Felidae,Lynx lynx,Large Mammalia
607,MAM040103002,M105,Mammalia,Carnivora,Felidae,Lynx pardinus,Large Mammalia
608,MAM060105002,M108,Mammalia,Rodentia,Sciuridae,Marmota bobak,Small Mammalia
609,MAM060105001,M109,Mammalia,Rodentia,Sciuridae,Marmota marmota,Small Mammalia
610,MAM040502001,M11,Mammalia,Carnivora,Canidae,Alopex lagopus,Large Mammalia
611,MAM040703001,M110,Mammalia,Carnivora,Mustelidae,Martes foina,Large Mammalia
612,MAM040703002,M111,Mammalia,Carnivora,Mustelidae,Martes martes,Large Mammalia
613,MAM040703003,M112,Mammalia,Carnivora,Mustelidae,Martes zibellina,Large Mammalia
614,MAM040701001,M113,Mammalia,Carnivora,Mustelidae,Meles leucurus,Large Mammalia
615,MAM040701002,M114,Mammalia,Carnivora,Mustelidae,Meles meles,Large Mammalia
616,MAM060904001,M115,Mammalia,Rodentia,Muridae,Meriones crassus,Small Mammalia
617,MAM060904004,M116,Mammalia,Rodentia,Muridae,Meriones dahli,Small Mammalia
618,MAM060904002,M117,Mammalia,Rodentia,Muridae,Meriones libycus,Small Mammalia
619,MAM060904007,M118,Mammalia,Rodentia,Muridae,Meriones meridianus,Small Mammalia
620,MAM060904006,M119,Mammalia,Rodentia,Muridae,Meriones persicus,Small Mammalia
621,MAM060905003,M12,Mammalia,Rodentia,Muridae,Apodemus agrarius,Small Mammalia
622,MAM060904008,M120,Mammalia,Rodentia,Muridae,Meriones tamariscinus,Small Mammalia
623,MAM060904003,M121,Mammalia,Rodentia,Muridae,Meriones tristrami,Small Mammalia
624,MAM060904005,M122,Mammalia,Rodentia,Muridae,Meriones vinogradovi,Small Mammalia
625,MAM060801001,M123,Mammalia,Rodentia,Cricetidae,Mesocricetus auratus,Small Mammalia
626,MAM060801003,M124,Mammalia,Rodentia,Cricetidae,Mesocricetus brandti,Small Mammalia
627,MAM060801004,M125,Mammalia,Rodentia,Cricetidae,Mesocricetus newtoni,Small Mammalia
628,MAM060801002,M126,Mammalia,Rodentia,Cricetidae,Mesocricetus raddei,Small Mammalia
629,MAM060907001,M127,Mammalia,Rodentia,Muridae,Micromys minutus,Small Mammalia
630,MAM060818001,M128,Mammalia,Rodentia,Cricetidae,Microtus agrestis,Small Mammalia
631,MAM060818024,M129,Mammalia,Rodentia,Cricetidae,Microtus anatolicus,Small Mammalia
632,MAM060905001,M13,Mammalia,Rodentia,Muridae,Apodemus alpicola,Small Mammalia
633,MAM060818026,M130,Mammalia,Rodentia,Cricetidae,Microtus arvalis,Small Mammalia
634,MAM060818015,M132,Mammalia,Rodentia,Cricetidae,Microtus brachycercus,Small Mammalia
635,MAM060818004,M133,Mammalia,Rodentia,Cricetidae,Microtus cabrerae,Small Mammalia
636,MAM060818007,M134,Mammalia,Rodentia,Cricetidae,Microtus daghestanicus,Small Mammalia
637,MAM060818022,M135,Mammalia,Rodentia,Cricetidae,Microtus dogramacii,Small Mammalia
638,MAM060818011,M136,Mammalia,Rodentia,Cricetidae,Microtus duodecimcostatus,Small Mammalia
639,MAM060818019,M137,Mammalia,Rodentia,Cricetidae,Microtus felteni,Small Mammalia
640,MAM060818013,M138,Mammalia,Rodentia,Cricetidae,Microtus gerbei,Small Mammalia
641,MAM060816001,M139,Mammalia,Rodentia,Cricetidae,Lasiopodomys gregalis,Small Mammalia
642,MAM060905004,M14,Mammalia,Rodentia,Muridae,Apodemus epimelas,Small Mammalia
643,MAM060818021,M140,Mammalia,Rodentia,Cricetidae,Microtus guentheri,Small Mammalia
644,MAM060818009,M142,Mammalia,Rodentia,Cricetidae,Microtus liechtensteini,Small Mammalia
645,MAM060818012,M143,Mammalia,Rodentia,Cricetidae,Microtus lusitanicus,Small Mammalia
646,MAM060818005,M144,Mammalia,Rodentia,Cricetidae,Microtus majori,Small Mammalia
647,MAM060817001,M145,Mammalia,Rodentia,Cricetidae,Alexandromys middendorffii,Small Mammalia
648,MAM060818008,M146,Mammalia,Rodentia,Cricetidae,Microtus multiplex,Small Mammalia
649,MAM060817002,M148,Mammalia,Rodentia,Cricetidae,Alexandromys oeconomus,Small Mammalia
650,MAM060818014,M149,Mammalia,Rodentia,Cricetidae,Microtus savii,Small Mammalia
651,MAM060905008,M15,Mammalia,Rodentia,Muridae,Apodemus flavicollis,Small Mammalia
652,MAM060818023,M151,Mammalia,Rodentia,Cricetidae,Microtus socialis,Small Mammalia
653,MAM060818006,M152,Mammalia,Rodentia,Cricetidae,Microtus subterraneus,Small Mammalia
654,MAM060818010,M153,Mammalia,Rodentia,Cricetidae,Microtus tatricus,Small Mammalia
655,MAM060818017,M154,Mammalia,Rodentia,Cricetidae,Microtus thomasi,Small Mammalia
656,MAM030601002,M156,Mammalia,Chiroptera,Miniopteridae,Miniopterus schreibersii,Chiroptera
657,MAM060906005,M157,Mammalia,Rodentia,Muridae,Mus cypriacus,Small Mammalia
658,MAM060906003,M158,Mammalia,Rodentia,Muridae,Mus macedonicus,Small Mammalia
659,MAM060906001,M159,Mammalia,Rodentia,Muridae,Mus musculus,Small Mammalia
660,MAM060905005,M16,Mammalia,Rodentia,Muridae,Apodemus hyrcanicus,Small Mammalia
661,MAM060906004,M160,Mammalia,Rodentia,Muridae,Mus spicilegus,Small Mammalia
662,MAM060906002,M161,Mammalia,Rodentia,Muridae,Mus spretus,Small Mammalia
663,MAM060202001,M162,Mammalia,Rodentia,Gliridae,Muscardinus avellanarius,Small Mammalia
664,MAM040706001,M163,Mammalia,Carnivora,Mustelidae,Mustela erminea,Large Mammalia
665,MAM040706002,M164,Mammalia,Carnivora,Mustelidae,Mustela eversmanii,Large Mammalia
666,MAM040706003,M165,Mammalia,Carnivora,Mustelidae,Mustela lutreola,Large Mammalia
667,MAM040706004,M166,Mammalia,Carnivora,Mustelidae,Mustela nivalis,Large Mammalia
668,MAM040706005,M167,Mammalia,Carnivora,Mustelidae,Mustela putorius,Large Mammalia
669,MAM040706006,M168,Mammalia,Carnivora,Mustelidae,Mustela sibirica,Large Mammalia
670,MAM060810001,M169,Mammalia,Rodentia,Cricetidae,Myodes glareolus,Small Mammalia
671,MAM060905009,M17,Mammalia,Rodentia,Muridae,Apodemus mystacinus,Small Mammalia
672,MAM060809001,M170,Mammalia,Rodentia,Cricetidae,Craseomys rufocanus,Small Mammalia
673,MAM060810002,M171,Mammalia,Rodentia,Cricetidae,Myodes rutilus,Small Mammalia
674,MAM060203001,M172,Mammalia,Rodentia,Gliridae,Myomimus roachi,Small Mammalia
675,MAM060203002,M173,Mammalia,Rodentia,Gliridae,Myomimus setzeri,Small Mammalia
676,MAM060806001,M174,Mammalia,Rodentia,Cricetidae,Myopus schisticolor,Small Mammalia
677,MAM030509003,M175,Mammalia,Chiroptera,Vespertilionidae,Myotis alcathoe,Chiroptera
678,MAM030509008,M177,Mammalia,Chiroptera,Vespertilionidae,Myotis bechsteinii,Chiroptera
679,MAM030509010,M178,Mammalia,Chiroptera,Vespertilionidae,Myotis blythii,Chiroptera
680,MAM030509001,M179,Mammalia,Chiroptera,Vespertilionidae,Myotis brandtii,Chiroptera
681,MAM060905006,M18,Mammalia,Rodentia,Muridae,Apodemus ponticus,Small Mammalia
682,MAM030509007,M180,Mammalia,Chiroptera,Vespertilionidae,Myotis capaccinii,Chiroptera
683,MAM030509004,M181,Mammalia,Chiroptera,Vespertilionidae,Myotis dasycneme,Chiroptera
684,MAM030509009,M182,Mammalia,Chiroptera,Vespertilionidae,Myotis daubentonii,Chiroptera
685,MAM030509002,M183,Mammalia,Chiroptera,Vespertilionidae,Myotis emarginatus,Chiroptera
686,MAM030509011,M185,Mammalia,Chiroptera,Vespertilionidae,Myotis myotis,Chiroptera
687,MAM030509005,M186,Mammalia,Chiroptera,Vespertilionidae,Myotis mystacinus,Chiroptera
688,MAM030509013,M187,Mammalia,Chiroptera,Vespertilionidae,Myotis nattereri,Chiroptera
689,MAM030509012,M189,Mammalia,Chiroptera,Vespertilionidae,Myotis punicus,Chiroptera
690,MAM060905002,M19,Mammalia,Rodentia,Muridae,Apodemus sylvaticus,Small Mammalia
691,MAM030509015,M190,Mammalia,Chiroptera,Vespertilionidae,Myotis schaubi,Chiroptera
692,MAM020202001,M191,Mammalia,Eulipotyphla,Soricidae,Neomys anomalus,Small Mammalia
693,MAM020202004,M192,Mammalia,Eulipotyphla,Soricidae,Neomys fodiens,Small Mammalia
694,MAM020202003,M193,Mammalia,Eulipotyphla,Soricidae,Neomys teres,Small Mammalia
695,MAM030501004,M195,Mammalia,Chiroptera,Vespertilionidae,Nyctalus azoreum,Chiroptera
696,MAM030501001,M196,Mammalia,Chiroptera,Vespertilionidae,Nyctalus lasiopterus,Chiroptera
697,MAM030501003,M197,Mammalia,Chiroptera,Vespertilionidae,Nyctalus leisleri,Chiroptera
698,MAM030501002,M198,Mammalia,Chiroptera,Vespertilionidae,Nyctalus noctula,Chiroptera
699,MAM010101001,M199,Mammalia,Lagomorpha,Ochotonidae,Ochotona hyperborea,Small Mammalia
700,MAM060901001,M2,Mammalia,Rodentia,Muridae,Acomys minous,Small Mammalia
701,MAM060905007,M20,Mammalia,Rodentia,Muridae,Apodemus uralensis,Small Mammalia
702,MAM010101002,M200,Mammalia,Lagomorpha,Ochotonidae,Ochotona pusilla,Small Mammalia
703,MAM010201001,M201,Mammalia,Lagomorpha,Leporidae,Oryctolagus cuniculus,Small Mammalia
704,MAM050305001,M204,Mammalia,Artiodactyla,Bovidae,Ovis gmelini,Large Mammalia
705,MAM040101001,M205,Mammalia,Carnivora,Felidae,Panthera pardus,Large Mammalia
706,MAM030502006,M206,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus kuhlii,Chiroptera
707,MAM030502005,M207,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus maderensis,Chiroptera
708,MAM030502004,M208,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus nathusii,Chiroptera
709,MAM030502001,M209,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pipistrellus,Chiroptera
710,MAM060905010,M21,Mammalia,Rodentia,Muridae,Apodemus witherbyi,Small Mammalia
711,MAM030502002,M210,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus pygmaeus,Chiroptera
712,MAM030507007,M211,Mammalia,Chiroptera,Vespertilionidae,Plecotus auritus,Chiroptera
713,MAM030507001,M212,Mammalia,Chiroptera,Vespertilionidae,Plecotus austriacus,Chiroptera
714,MAM030507004,M213,Mammalia,Chiroptera,Vespertilionidae,Plecotus kolombatovici,Chiroptera
715,MAM030507005,M214,Mammalia,Chiroptera,Vespertilionidae,Plecotus macrobullaris,Chiroptera
716,MAM030507006,M215,Mammalia,Chiroptera,Vespertilionidae,Plecotus sardus,Chiroptera
717,MAM030507002,M216,Mammalia,Chiroptera,Vespertilionidae,Plecotus teneriffae,Chiroptera
718,MAM060805001,M217,Mammalia,Rodentia,Cricetidae,Prometheomys schaposchnikowi,Small Mammalia
719,MAM060102001,M218,Mammalia,Rodentia,Sciuridae,Pteromys volans,Small Mammalia
720,MAM060814002,M22,Mammalia,Rodentia,Cricetidae,Arvicola amphibius,Small Mammalia
721,MAM060503001,M220,Mammalia,Rodentia,Dipodidae,Pygeretmus pumilio,Small Mammalia
722,MAM050205001,M221,Mammalia,Artiodactyla,Cervidae,Rangifer tarandus,Large Mammalia
723,MAM030201001,M224,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus blasii,Chiroptera
724,MAM030201003,M225,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus euryale,Chiroptera
725,MAM030201004,M226,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus ferrumequinum,Chiroptera
726,MAM030201005,M227,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus hipposideros,Chiroptera
727,MAM030201002,M228,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus mehelyi,Chiroptera
728,MAM060814001,M23,Mammalia,Rodentia,Cricetidae,Arvicola sapidus,Small Mammalia
729,MAM030101001,M230,Mammalia,Chiroptera,Pteropodidae,Rousettus aegyptiacus,Chiroptera
730,MAM050306001,M231,Mammalia,Artiodactyla,Bovidae,Rupicapra pyrenaica,Large Mammalia
731,MAM050306004,M232,Mammalia,Artiodactyla,Bovidae,Rupicapra rupicapra,Large Mammalia
732,MAM050302001,M233,Mammalia,Artiodactyla,Bovidae,Saiga tatarica,Large Mammalia
733,MAM060101003,M234,Mammalia,Rodentia,Sciuridae,Sciurus anomalus,Small Mammalia
734,MAM060101001,M235,Mammalia,Rodentia,Sciuridae,Sciurus vulgaris,Small Mammalia
735,MAM060401004,M236,Mammalia,Rodentia,Sminthidae,Sicista armenica,Small Mammalia
736,MAM060401005,M237,Mammalia,Rodentia,Sminthidae,Sicista betulina,Small Mammalia
737,MAM060401001,M238,Mammalia,Rodentia,Sminthidae,Sicista caucasica,Small Mammalia
738,MAM060401003,M239,Mammalia,Rodentia,Sminthidae,Sicista kazbegica,Small Mammalia
739,MAM060814003,M24,Mammalia,Rodentia,Cricetidae,Arvicola monticola,Small Mammalia
740,MAM060401002,M240,Mammalia,Rodentia,Sminthidae,Sicista kluchorica,Small Mammalia
741,MAM060401006,M242,Mammalia,Rodentia,Sminthidae,Sicista strandi,Small Mammalia
742,MAM060401007,M243,Mammalia,Rodentia,Sminthidae,Sicista subtilis,Small Mammalia
743,MAM020201001,M244,Mammalia,Eulipotyphla,Soricidae,Sorex alpinus,Small Mammalia
744,MAM020201008,M245,Mammalia,Eulipotyphla,Soricidae,Sorex antinorii,Small Mammalia
745,MAM020201006,M246,Mammalia,Eulipotyphla,Soricidae,Sorex araneus,Small Mammalia
746,MAM020201004,M248,Mammalia,Eulipotyphla,Soricidae,Sorex caecutiens,Small Mammalia
747,MAM020201009,M249,Mammalia,Eulipotyphla,Soricidae,Sorex coronatus,Small Mammalia
748,MAM020102001,M25,Mammalia,Eulipotyphla,Erinaceidae,Atelerix algirus,Small Mammalia
749,MAM020201007,M250,Mammalia,Eulipotyphla,Soricidae,Sorex granarius,Small Mammalia
750,MAM020201005,M251,Mammalia,Eulipotyphla,Soricidae,Sorex isodon,Small Mammalia
751,MAM020201003,M252,Mammalia,Eulipotyphla,Soricidae,Sorex minutissimus,Small Mammalia
752,MAM020201014,M253,Mammalia,Eulipotyphla,Soricidae,Sorex minutus,Small Mammalia
753,MAM020201002,M254,Mammalia,Eulipotyphla,Soricidae,Sorex raddei,Small Mammalia
754,MAM020201013,M255,Mammalia,Eulipotyphla,Soricidae,Sorex samniticus,Small Mammalia
755,MAM020201010,M256,Mammalia,Eulipotyphla,Soricidae,Sorex satunini,Small Mammalia
756,MAM020201012,M257,Mammalia,Eulipotyphla,Soricidae,Sorex tundrensis,Small Mammalia
757,MAM020201015,M258,Mammalia,Eulipotyphla,Soricidae,Sorex volnuchini,Small Mammalia
758,MAM060601005,M259,Mammalia,Rodentia,Spalacidae,Spalax arenarius,Small Mammalia
759,MAM030506001,M26,Mammalia,Chiroptera,Vespertilionidae,Barbastella barbastellus,Chiroptera
760,MAM060602003,M260,Mammalia,Rodentia,Spalacidae,Nannospalax ehrenbergi,Small Mammalia
761,MAM060601007,M261,Mammalia,Rodentia,Spalacidae,Spalax giganteus,Small Mammalia
762,MAM060601003,M262,Mammalia,Rodentia,Spalacidae,Spalax graecus,Small Mammalia
763,MAM060602001,M263,Mammalia,Rodentia,Spalacidae,Nannospalax leucodon,Small Mammalia
764,MAM060601004,M267,Mammalia,Rodentia,Spalacidae,Spalax zemni,Small Mammalia
765,MAM060104001,M268,Mammalia,Rodentia,Sciuridae,Spermophilus citellus,Small Mammalia
766,MAM060104004,M269,Mammalia,Rodentia,Sciuridae,Spermophilus fulvus,Small Mammalia
767,MAM030506002,M27,Mammalia,Chiroptera,Vespertilionidae,Barbastella caspica,Chiroptera
768,MAM060104002,M270,Mammalia,Rodentia,Sciuridae,Spermophilus major,Small Mammalia
769,MAM060104006,M271,Mammalia,Rodentia,Sciuridae,Spermophilus musicus,Small Mammalia
770,MAM060104005,M272,Mammalia,Rodentia,Sciuridae,Spermophilus pygmaeus,Small Mammalia
771,MAM060104003,M273,Mammalia,Rodentia,Sciuridae,Spermophilus suslicus,Small Mammalia
772,MAM060104008,M274,Mammalia,Rodentia,Sciuridae,Spermophilus taurensis,Small Mammalia
773,MAM060104007,M275,Mammalia,Rodentia,Sciuridae,Spermophilus xanthoprymnus,Small Mammalia
774,MAM060505001,M276,Mammalia,Rodentia,Dipodidae,Stylodipus telum,Small Mammalia
775,MAM020203001,M277,Mammalia,Eulipotyphla,Soricidae,Suncus etruscus,Small Mammalia
776,MAM050101001,M278,Mammalia,Artiodactyla,Suidae,Sus scrofa,Large Mammalia
777,MAM030401001,M279,Mammalia,Chiroptera,Molossidae,Tadarida teniotis,Chiroptera
778,MAM050301001,M28,Mammalia,Artiodactyla,Bovidae,Bison bonasus,Large Mammalia
779,MAM020303006,M280,Mammalia,Eulipotyphla,Talpidae,Talpa caeca,Small Mammalia
780,MAM020303003,M281,Mammalia,Eulipotyphla,Talpidae,Talpa caucasica,Small Mammalia
781,MAM020303001,M282,Mammalia,Eulipotyphla,Talpidae,Talpa davidiana,Small Mammalia
782,MAM020303010,M283,Mammalia,Eulipotyphla,Talpidae,Talpa europaea,Small Mammalia
783,MAM020303004,M284,Mammalia,Eulipotyphla,Talpidae,Talpa levantis,Small Mammalia
784,MAM020303009,M285,Mammalia,Eulipotyphla,Talpidae,Talpa occidentalis,Small Mammalia
785,MAM020303008,M286,Mammalia,Eulipotyphla,Talpidae,Talpa romana,Small Mammalia
786,MAM020303005,M287,Mammalia,Eulipotyphla,Talpidae,Talpa stankovici,Small Mammalia
787,MAM060103001,M288,Mammalia,Rodentia,Sciuridae,Tamias sibiricus,Small Mammalia
788,MAM060902001,M289,Mammalia,Rodentia,Muridae,Tatera indica,Small Mammalia
789,MAM060701001,M29,Mammalia,Rodentia,Calomyscidae,Calomyscus urartensis,Small Mammalia
790,MAM040601001,M290,Mammalia,Carnivora,Ursidae,Ursus arctos,Large Mammalia
791,MAM040601002,M291,Mammalia,Carnivora,Ursidae,Ursus maritimus,Large Mammalia
792,MAM030503001,M292,Mammalia,Chiroptera,Vespertilionidae,Vespertilio murinus,Chiroptera
793,MAM040704001,M293,Mammalia,Carnivora,Mustelidae,Vormela peregusna,Large Mammalia
794,MAM040503002,M294,Mammalia,Carnivora,Canidae,Vulpes corsac,Large Mammalia
795,MAM040503001,M295,Mammalia,Carnivora,Canidae,Vulpes vulpes,Large Mammalia
796,MAM060901003,M3,Mammalia,Rodentia,Muridae,Acomys nesiotes,Small Mammalia
797,MAM040501002,M30,Mammalia,Carnivora,Canidae,Canis aureus,Large Mammalia
798,MAM040501001,M31,Mammalia,Carnivora,Canidae,Canis lupus,Large Mammalia
799,MAM050304001,M32,Mammalia,Artiodactyla,Bovidae,Capra aegagrus,Large Mammalia
800,MAM050304004,M33,Mammalia,Artiodactyla,Bovidae,Capra caucasica,Large Mammalia
801,MAM050304005,M34,Mammalia,Artiodactyla,Bovidae,Capra cylindricornis,Large Mammalia
802,MAM050304003,M36,Mammalia,Artiodactyla,Bovidae,Capra ibex,Large Mammalia
803,MAM050304002,M37,Mammalia,Artiodactyla,Bovidae,Capra pyrenaica,Large Mammalia
804,MAM050203001,M38,Mammalia,Artiodactyla,Cervidae,Capreolus capreolus,Large Mammalia
805,MAM050203002,M39,Mammalia,Artiodactyla,Cervidae,Capreolus pygargus,Large Mammalia
806,MAM050204001,M4,Mammalia,Artiodactyla,Cervidae,Alces alces,Large Mammalia
807,MAM060301001,M40,Mammalia,Rodentia,Castoridae,Castor fiber,Small Mammalia
808,MAM050202001,M41,Mammalia,Artiodactyla,Cervidae,Cervus elaphus,Large Mammalia
809,MAM060815003,M42,Mammalia,Rodentia,Cricetidae,Chionomys gud,Small Mammalia
810,MAM060815001,M43,Mammalia,Rodentia,Cricetidae,Chionomys nivalis,Small Mammalia
811,MAM060815002,M44,Mammalia,Rodentia,Cricetidae,Chionomys roberti,Small Mammalia
812,MAM060802001,M45,Mammalia,Rodentia,Cricetidae,Cricetulus migratorius,Small Mammalia
813,MAM060804001,M46,Mammalia,Rodentia,Cricetidae,Cricetus cricetus,Small Mammalia
814,MAM020205006,M47,Mammalia,Eulipotyphla,Soricidae,Crocidura arispa,Small Mammalia
815,MAM020205010,M49,Mammalia,Eulipotyphla,Soricidae,Crocidura canariensis,Small Mammalia
816,MAM060502004,M5,Mammalia,Rodentia,Dipodidae,Scarturus elater,Small Mammalia
817,MAM020205007,M50,Mammalia,Eulipotyphla,Soricidae,Crocidura caspica,Small Mammalia
818,MAM020205005,M52,Mammalia,Eulipotyphla,Soricidae,Crocidura leucodon,Small Mammalia
819,MAM020205003,M53,Mammalia,Eulipotyphla,Soricidae,Crocidura pachyura,Small Mammalia
820,MAM020205004,M54,Mammalia,Eulipotyphla,Soricidae,Crocidura russula,Small Mammalia
821,MAM020205009,M56,Mammalia,Eulipotyphla,Soricidae,Crocidura sicula,Small Mammalia
822,MAM020205002,M57,Mammalia,Eulipotyphla,Soricidae,Crocidura suaveolens,Small Mammalia
823,MAM020205008,M58,Mammalia,Eulipotyphla,Soricidae,Crocidura zimmermanni,Small Mammalia
824,MAM050201001,M59,Mammalia,Artiodactyla,Cervidae,Dama dama,Large Mammalia
825,MAM060502003,M6,Mammalia,Rodentia,Dipodidae,Scarturus euphraticus,Small Mammalia
826,MAM020301001,M60,Mammalia,Eulipotyphla,Talpidae,Desmana moschata,Small Mammalia
827,MAM060808001,M61,Mammalia,Rodentia,Cricetidae,Dicrostonyx torquatus,Small Mammalia
828,MAM060811001,M62,Mammalia,Rodentia,Cricetidae,Dinaromys bogdanovi,Small Mammalia
829,MAM020204001,M63,Mammalia,Eulipotyphla,Soricidae,Diplomesodon pulchellus,Small Mammalia
830,MAM060504001,M64,Mammalia,Rodentia,Dipodidae,Dipus sagitta,Small Mammalia
831,MAM060204003,M65,Mammalia,Rodentia,Gliridae,Dryomys laniger,Small Mammalia
832,MAM060204001,M66,Mammalia,Rodentia,Gliridae,Dryomys nitedula,Small Mammalia
833,MAM060205001,M67,Mammalia,Rodentia,Gliridae,Eliomys melanurus,Small Mammalia
834,MAM060205002,M68,Mammalia,Rodentia,Gliridae,Eliomys quercinus,Small Mammalia
835,MAM060812002,M69,Mammalia,Rodentia,Cricetidae,Ellobius lutescens,Small Mammalia
836,MAM060501001,M7,Mammalia,Rodentia,Dipodidae,Allactaga major,Small Mammalia
837,MAM060812001,M70,Mammalia,Rodentia,Cricetidae,Ellobius talpinus,Small Mammalia
838,MAM030505005,M73,Mammalia,Chiroptera,Vespertilionidae,Eptesicus nilssonii,Chiroptera
839,MAM030505004,M74,Mammalia,Chiroptera,Vespertilionidae,Eptesicus serotinus,Chiroptera
840,MAM020101003,M75,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus concolor,Small Mammalia
841,MAM020101001,M76,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus europaeus,Small Mammalia
842,MAM020101002,M77,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus roumanicus,Small Mammalia
843,MAM040105001,M78,Mammalia,Carnivora,Felidae,Felis chaus,Large Mammalia
844,MAM040105002,M80,Mammalia,Carnivora,Felidae,Felis silvestris,Large Mammalia
845,MAM020302001,M81,Mammalia,Eulipotyphla,Talpidae,Galemys pyrenaicus,Small Mammalia
846,MAM050303001,M82,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa,Large Mammalia
847,MAM040201001,M83,Mammalia,Carnivora,Viverridae,Genetta genetta,Large Mammalia
848,MAM060903001,M84,Mammalia,Rodentia,Muridae,Gerbillus dasyurus,Small Mammalia
849,MAM060201001,M85,Mammalia,Rodentia,Gliridae,Glis glis,Small Mammalia
850,MAM040702001,M86,Mammalia,Carnivora,Mustelidae,Gulo gulo,Large Mammalia
851,MAM020103001,M87,Mammalia,Eulipotyphla,Erinaceidae,Hemiechinus auritus,Small Mammalia
852,MAM040301001,M88,Mammalia,Carnivora,Herpestidae,Herpestes ichneumon,Large Mammalia
853,MAM040401001,M89,Mammalia,Carnivora,Hyaenidae,Hyaena hyaena,Large Mammalia
854,MAM060502001,M9,Mammalia,Rodentia,Dipodidae,Scarturus williamsi,Small Mammalia
855,MAM030504001,M90,Mammalia,Chiroptera,Vespertilionidae,Hypsugo savii,Chiroptera
856,MAM061001001,M91,Mammalia,Rodentia,Hystricidae,Hystrix cristata,Small Mammalia
857,MAM061001002,M92,Mammalia,Rodentia,Hystricidae,Hystrix indica,Small Mammalia
858,MAM060813001,M93,Mammalia,Rodentia,Cricetidae,Lagurus lagurus,Small Mammalia
859,MAM060807001,M94,Mammalia,Rodentia,Cricetidae,Lemmus lemmus,Small Mammalia
860,MAM060807002,M95,Mammalia,Rodentia,Cricetidae,Lemmus sibiricus,Small Mammalia
861,MAM010202001,M96,Mammalia,Lagomorpha,Leporidae,Lepus capensis,Small Mammalia
862,MAM010202005,M97,Mammalia,Lagomorpha,Leporidae,Lepus castroviejoi,Small Mammalia
863,MAM010202006,M98,Mammalia,Lagomorpha,Leporidae,Lepus corsicanus,Small Mammalia
864,MAM010202004,M99,Mammalia,Lagomorpha,Leporidae,Lepus europaeus,Small Mammalia
865,AMP010205002,,Amphibia,Caudata,Salamandridae,Lissotriton graecus,Amphibia
866,AMP010205005,,Amphibia,Caudata,Salamandridae,Lissotriton kosswigi,Amphibia
867,AMP010205006,,Amphibia,Caudata,Salamandridae,Lissotriton lantzi,Amphibia
868,AMP010205007,,Amphibia,Caudata,Salamandridae,Lissotriton maltzani,Amphibia
869,AMP010205009,,Amphibia,Caudata,Salamandridae,Lissotriton schmidtleri,Amphibia
870,AMP010206002,,Amphibia,Caudata,Salamandridae,Lyciasalamandra arikani,Amphibia
871,AMP010206008,,Amphibia,Caudata,Salamandridae,Lyciasalamandra irfani,Amphibia
872,AMP010206010,,Amphibia,Caudata,Salamandridae,Lyciasalamandra yehudahi,Amphibia
873,AMP010208001,,Amphibia,Caudata,Salamandridae,Neurergus barani,Amphibia
874,AMP010209001,,Amphibia,Caudata,Salamandridae,Ommatotriton nesterovi,Amphibia
875,AMP010213001,,Amphibia,Caudata,Salamandridae,Triturus anatolicus,Amphibia
876,AMP010213005,,Amphibia,Caudata,Salamandridae,Triturus ivanbureschi,Amphibia
877,AMP020101001,,Amphibia,Anura,Alytidae,Alytes almogavarii,Amphibia
878,AMP020301001,,Amphibia,Anura,Pelobatidae,Pelobates balcanicus,Amphibia
879,AMP020301005,,Amphibia,Anura,Pelobatidae,Pelobates vespertinus,Amphibia
880,AMP020401001,,Amphibia,Anura,Pelodytidae,Pelodytes atlanticus,Amphibia
881,AMP020401003,,Amphibia,Anura,Pelodytidae,Pelodytes hespericus,Amphibia
882,AMP020501002,,Amphibia,Anura,Bufonidae,Bufo spinosus,Amphibia
883,AMP020503003,,Amphibia,Anura,Bufonidae,Bufotes cypriensis,Amphibia
884,AMP020503004,,Amphibia,Anura,Bufonidae,Bufotes sitibundus,Amphibia
885,AMP020601004,,Amphibia,Anura,Hylidae,Hyla molleri,Amphibia
886,AMP020601005,,Amphibia,Anura,Hylidae,Hyla orientalis,Amphibia
887,AMP020601006,,Amphibia,Anura,Hylidae,Hyla perrini,Amphibia
888,AMP020701006,,Amphibia,Anura,Ranidae,Pelophylax cypriensis,Amphibia
889,AMP020702004,A98,Amphibia,Anura,Ranidae,Rana holtzi,Amphibia
890,AMP020702009,,Amphibia,Anura,Ranidae,Rana parvipalmata,Amphibia
891,AVE060101001,,Aves,Pterocliformes,Pteroclidae,Syrrhaptes paradoxus,Aves
